candidate,state,pollster,sample_size,pct,start_date,end_date
Donald Trump,New Hampshire,Gallup,1748,59.4,2024-02-16,2024-01-28
Kamala Harris,West Virginia,CNN,1876,43.8,2024-02-07,2024-04-09
Kamala Harris,West Virginia,Emerson,2295,46.3,2024-06-25,2024-09-03
Donald Trump,New Mexico,Ipsos,1439,47,2024-07-16,2024-01-28
Donald Trump,Nevada,Emerson,1419,46.9,2024-03-20,2024-05-04
Donald Trump,Arizona,YouGov,1647,45.5,2024-06-23,2024-07-23
Donald Trump,Nebraska,YouGov,1173,54.6,2024-02-02,2024-02-19
Kamala Harris,Wisconsin,Emerson,2966,55.4,2024-05-07,2024-06-20
Kamala Harris,Idaho,Ipsos,2469,53.5,2024-01-13,2024-01-18
Kamala Harris,Alaska,CNN,1633,49.8,2024-03-05,2024-09-11
Kamala Harris,Mississippi,CNN,2103,58.6,2024-09-14,2024-01-28
Donald Trump,Virginia,Gallup,2785,42.7,2024-07-29,2024-03-21
Donald Trump,Iowa,CNN,831,51.2,2024-06-30,2024-08-20
Kamala Harris,New Mexico,YouGov,1521,50.5,2024-08-08,2024-01-21
Kamala Harris,Montana,Gallup,2182,44.8,2024-09-28,2024-05-04
Donald Trump,Arizona,Emerson,2125,56.3,2024-08-27,2024-04-09
Kamala Harris,Wyoming,YouGov,557,58.9,2024-01-17,2024-03-25
Donald Trump,Kentucky,Emerson,1586,48.9,2024-04-30,2024-07-02
Donald Trump,Texas,YouGov,960,55.8,2024-04-27,2024-01-10
Kamala Harris,Connecticut,Ipsos,2518,54.4,2024-09-08,2024-02-27
Donald Trump,Vermont,CNN,1030,56.3,2024-02-21,2024-09-06
Kamala Harris,Louisiana,Gallup,2487,45.6,2024-02-08,2024-07-02
Kamala Harris,Arkansas,Emerson,2311,50.8,2024-04-09,2024-01-10
Donald Trump,Oregon,YouGov,506,56.9,2024-07-05,2024-05-10
Donald Trump,Nevada,Emerson,925,49,2024-08-28,2024-02-05
Donald Trump,Kansas,YouGov,616,42.7,2024-01-12,2024-09-12
Kamala Harris,Kentucky,Ipsos,1355,54.5,2024-08-04,2024-03-16
Kamala Harris,Ohio,CNN,715,41.5,2024-02-02,2024-05-26
