candidate_name,pollster,sample_size,end_date,state,pct,recency
Kamala Harris,PPP,571,2024-10-17,Washington,55,0
Donald Trump,PPP,571,2024-10-17,Washington,40,0
Kamala Harris,PPP,716,2024-10-17,Oregon,53,0
Donald Trump,PPP,716,2024-10-17,Oregon,41,0
Kamala Harris,RMG Research,788,2024-10-17,Florida,47,0
Donald Trump,RMG Research,788,2024-10-17,Florida,52,0
Kamala Harris,ActiVote,400,2024-10-17,Georgia,49.3,0
Donald Trump,ActiVote,400,2024-10-17,Georgia,50.7,0
Kamala Harris,ActiVote,400,2024-10-17,South Carolina,41.6,0
Donald Trump,ActiVote,400,2024-10-17,South Carolina,58.4,0
Kamala Harris,YouGov,1435,2024-10-16,Arizona,48,1
Donald Trump,YouGov,1435,2024-10-16,Arizona,51,1
Kamala Harris,RMG Research,787,2024-10-16,Wisconsin,49,1
Donald Trump,RMG Research,787,2024-10-16,Wisconsin,50,1
Kamala Harris,RMG Research,789,2024-10-16,Michigan,49,1
Donald Trump,RMG Research,789,2024-10-16,Michigan,49,1
Kamala Harris,ActiVote,400,2024-10-16,Texas,44.2,1
Donald Trump,ActiVote,400,2024-10-16,Texas,55.8,1
Kamala Harris,ActiVote,400,2024-10-16,Tennessee,37.6,1
Donald Trump,ActiVote,400,2024-10-16,Tennessee,62.4,1
Kamala Harris,ActiVote,400,2024-10-16,Massachusetts,66.6,1
Donald Trump,ActiVote,400,2024-10-16,Massachusetts,33.4,1
Kamala Harris,InsiderAdvantage,800,2024-10-15,Georgia,47,2
Donald Trump,InsiderAdvantage,800,2024-10-15,Georgia,49,2
Kamala Harris,Morning Consult,653,2024-10-15,Arizona,49,2
Donald Trump,Morning Consult,653,2024-10-15,Arizona,48,2
Kamala Harris,Morning Consult,1002,2024-10-15,Georgia,48,2
Donald Trump,Morning Consult,1002,2024-10-15,Georgia,49,2
Kamala Harris,Morning Consult,490,2024-10-15,Maryland,64,2
Donald Trump,Morning Consult,490,2024-10-15,Maryland,31,2
Kamala Harris,Morning Consult,1065,2024-10-15,Michigan,49,2
Donald Trump,Morning Consult,1065,2024-10-15,Michigan,47,2
Kamala Harris,Morning Consult,496,2024-10-15,Nevada,49,2
Donald Trump,Morning Consult,496,2024-10-15,Nevada,45,2
Kamala Harris,Morning Consult,1072,2024-10-15,North Carolina,48,2
Donald Trump,Morning Consult,1072,2024-10-15,North Carolina,49,2
Kamala Harris,Morning Consult,1243,2024-10-15,Ohio,45,2
Donald Trump,Morning Consult,1243,2024-10-15,Ohio,52,2
Kamala Harris,Morning Consult,1395,2024-10-15,Pennsylvania,49,2
Donald Trump,Morning Consult,1395,2024-10-15,Pennsylvania,48,2
Kamala Harris,Morning Consult,2048,2024-10-15,Texas,46,2
Donald Trump,Morning Consult,2048,2024-10-15,Texas,50,2
Kamala Harris,Morning Consult,527,2024-10-15,Wisconsin,47,2
Donald Trump,Morning Consult,527,2024-10-15,Wisconsin,48,2
Kamala Harris,Mitchell,589,2024-10-14,Michigan,47,3
Donald Trump,Mitchell,589,2024-10-14,Michigan,47,3
Kamala Harris,Mitchell,589,2024-10-14,Michigan,47.4,3
Donald Trump,Mitchell,589,2024-10-14,Michigan,48.5,3
Kamala Harris,Patriot Polling,803,2024-10-14,Wisconsin,49,3
Donald Trump,Patriot Polling,803,2024-10-14,Wisconsin,50,3
Kamala Harris,Emerson,1000,2024-10-14,California,61,3
Donald Trump,Emerson,1000,2024-10-14,California,36.6,3
Kamala Harris,Redfield & Wilton Strategies,620,2024-10-14,North Carolina,46,3
Donald Trump,Redfield & Wilton Strategies,620,2024-10-14,North Carolina,48,3
Kamala Harris,Redfield & Wilton Strategies,1141,2024-10-14,Arizona,46,3
Donald Trump,Redfield & Wilton Strategies,1141,2024-10-14,Arizona,48,3
Kamala Harris,Redfield & Wilton Strategies,1009,2024-10-14,Florida,44,3
Donald Trump,Redfield & Wilton Strategies,1009,2024-10-14,Florida,50,3
Kamala Harris,Redfield & Wilton Strategies,637,2024-10-14,Georgia,47,3
Donald Trump,Redfield & Wilton Strategies,637,2024-10-14,Georgia,47,3
Kamala Harris,Redfield & Wilton Strategies,682,2024-10-14,Michigan,47,3
Donald Trump,Redfield & Wilton Strategies,682,2024-10-14,Michigan,47,3
Kamala Harris,Redfield & Wilton Strategies,544,2024-10-14,Minnesota,51,3
Donald Trump,Redfield & Wilton Strategies,544,2024-10-14,Minnesota,43,3
Kamala Harris,Redfield & Wilton Strategies,838,2024-10-14,Nevada,47,3
Donald Trump,Redfield & Wilton Strategies,838,2024-10-14,Nevada,47,3
Kamala Harris,Redfield & Wilton Strategies,382,2024-10-14,New Mexico,49,3
Donald Trump,Redfield & Wilton Strategies,382,2024-10-14,New Mexico,45,3
Kamala Harris,Redfield & Wilton Strategies,1649,2024-10-14,Pennsylvania,48,3
Donald Trump,Redfield & Wilton Strategies,1649,2024-10-14,Pennsylvania,48,3
Kamala Harris,Redfield & Wilton Strategies,641,2024-10-14,Wisconsin,48,3
Donald Trump,Redfield & Wilton Strategies,641,2024-10-14,Wisconsin,47,3
Kamala Harris,Cygnal,600,2024-10-14,North Carolina,46.6,3
Donald Trump,Cygnal,600,2024-10-14,North Carolina,47.2,3
Kamala Harris,Quinnipiac,1328,2024-10-14,Georgia,45,3
Donald Trump,Quinnipiac,1328,2024-10-14,Georgia,52,3
Kamala Harris,Quinnipiac,1328,2024-10-14,Georgia,46,3
Donald Trump,Quinnipiac,1328,2024-10-14,Georgia,52,3
Kamala Harris,Quinnipiac,1031,2024-10-14,North Carolina,49,3
Donald Trump,Quinnipiac,1031,2024-10-14,North Carolina,47,3
Kamala Harris,Quinnipiac,1031,2024-10-14,North Carolina,50,3
Donald Trump,Quinnipiac,1031,2024-10-14,North Carolina,47,3
Kamala Harris,SurveyUSA,703,2024-10-14,Washington,57,3
Donald Trump,SurveyUSA,703,2024-10-14,Washington,35,3
Kamala Harris,East Carolina University,701,2024-10-14,Georgia,45.8,3
Donald Trump,East Carolina University,701,2024-10-14,Georgia,48.9,3
Kamala Harris,ActiVote,400,2024-10-14,Maryland,62.9,3
Donald Trump,ActiVote,400,2024-10-14,Maryland,37.1,3
Kamala Harris,SoCal Strategies,692,2024-10-13,Michigan,49,4
Donald Trump,SoCal Strategies,692,2024-10-13,Michigan,48,4
Kamala Harris,Trafalgar Group,1090,2024-10-13,Arizona,46,4
Donald Trump,Trafalgar Group,1090,2024-10-13,Arizona,47.5,4
Kamala Harris,Trafalgar Group,1085,2024-10-13,North Carolina,44.6,4
Donald Trump,Trafalgar Group,1085,2024-10-13,North Carolina,46.5,4
Kamala Harris,Trafalgar Group,1088,2024-10-13,Nevada,45.6,4
Donald Trump,Trafalgar Group,1088,2024-10-13,Nevada,44.8,4
Kamala Harris,ActiVote,400,2024-10-13,Washington,60,4
Donald Trump,ActiVote,400,2024-10-13,Washington,40,4
Kamala Harris,Siena/NYT,857,2024-10-10,Pennsylvania,50,7
Donald Trump,Siena/NYT,857,2024-10-10,Pennsylvania,47,7
Kamala Harris,Siena/NYT,857,2024-10-10,Pennsylvania,49,7
Donald Trump,Siena/NYT,857,2024-10-10,Pennsylvania,45,7
Kamala Harris,Siena/NYT,857,2024-10-10,Pennsylvania,50,7
Donald Trump,Siena/NYT,857,2024-10-10,Pennsylvania,47,7
Kamala Harris,Siena/NYT,857,2024-10-10,Pennsylvania,49,7
Donald Trump,Siena/NYT,857,2024-10-10,Pennsylvania,45,7
Kamala Harris,Siena/NYT,808,2024-10-10,Arizona,46,7
Donald Trump,Siena/NYT,808,2024-10-10,Arizona,51,7
Kamala Harris,Siena/NYT,808,2024-10-10,Arizona,45,7
Donald Trump,Siena/NYT,808,2024-10-10,Arizona,50,7
Kamala Harris,Siena/NYT,808,2024-10-10,Arizona,45,7
Donald Trump,Siena/NYT,808,2024-10-10,Arizona,51,7
Kamala Harris,Siena/NYT,808,2024-10-10,Arizona,44,7
Donald Trump,Siena/NYT,808,2024-10-10,Arizona,49,7
Kamala Harris,RMG Research,731,2024-10-10,Georgia,47,7
