candidate_name,pollster,sample_size,end_date,numeric_grade,methodology,state,pct,pollscore,transparency_score,start_date,num_harris
Kamala Harris,PPP,571,2024-10-17,1.4,IVR/Text,Washington,55,0,4,2024-10-16,314
Kamala Harris,PPP,716,2024-10-17,1.4,IVR/Text,Oregon,53,0,4,2024-10-16,379
Kamala Harris,RMG Research,788,2024-10-17,2.3,Online Panel,Florida,47,-0.4,5,2024-10-14,370
Kamala Harris,YouGov,1435,2024-10-16,3,Online Panel,Arizona,48,-1.1,9,2024-10-11,689
Kamala Harris,RMG Research,787,2024-10-16,2.3,Online Panel,Wisconsin,49,-0.4,5,2024-10-10,386
Kamala Harris,RMG Research,789,2024-10-16,2.3,Online Panel,Michigan,49,-0.4,5,2024-10-10,387
Kamala Harris,Morning Consult,653,2024-10-15,1.9,Online Panel,Arizona,49,-0.3,3,2024-10-06,320
Kamala Harris,Morning Consult,1002,2024-10-15,1.9,Online Panel,Georgia,48,-0.3,3,2024-10-06,481
Kamala Harris,Morning Consult,490,2024-10-15,1.9,Online Panel,Maryland,64,-0.3,3,2024-10-06,314
Kamala Harris,Morning Consult,1065,2024-10-15,1.9,Online Panel,Michigan,49,-0.3,3,2024-10-06,522
Kamala Harris,Morning Consult,496,2024-10-15,1.9,Online Panel,Nevada,49,-0.3,3,2024-10-06,243
Kamala Harris,Morning Consult,1072,2024-10-15,1.9,Online Panel,North Carolina,48,-0.3,3,2024-10-06,515
Kamala Harris,Morning Consult,1243,2024-10-15,1.9,Online Panel,Ohio,45,-0.3,3,2024-10-06,559
Kamala Harris,Morning Consult,1395,2024-10-15,1.9,Online Panel,Pennsylvania,49,-0.3,3,2024-10-06,684
Kamala Harris,Morning Consult,2048,2024-10-15,1.9,Online Panel,Texas,46,-0.3,3,2024-10-06,942
Kamala Harris,Morning Consult,527,2024-10-15,1.9,Online Panel,Wisconsin,47,-0.3,3,2024-10-06,248
Kamala Harris,Patriot Polling,803,2024-10-14,1.1,IVR,Wisconsin,49,0.6,5,2024-10-12,393
Kamala Harris,Emerson,1000,2024-10-14,2.9,IVR/Online Panel,California,61,-1.1,7,2024-10-12,610
Kamala Harris,Redfield & Wilton Strategies,620,2024-10-14,1.8,Online Panel,North Carolina,46,0.4,9,2024-10-12,285
Kamala Harris,Redfield & Wilton Strategies,1141,2024-10-14,1.8,Online Panel,Arizona,46,0.4,9,2024-10-12,525
Kamala Harris,Redfield & Wilton Strategies,1009,2024-10-14,1.8,Online Panel,Florida,44,0.4,9,2024-10-12,444
Kamala Harris,Redfield & Wilton Strategies,637,2024-10-14,1.8,Online Panel,Georgia,47,0.4,9,2024-10-12,299
Kamala Harris,Redfield & Wilton Strategies,682,2024-10-14,1.8,Online Panel,Michigan,47,0.4,9,2024-10-12,321
Kamala Harris,Redfield & Wilton Strategies,544,2024-10-14,1.8,Online Panel,Minnesota,51,0.4,9,2024-10-12,277
Kamala Harris,Redfield & Wilton Strategies,838,2024-10-14,1.8,Online Panel,Nevada,47,0.4,9,2024-10-12,394
Kamala Harris,Redfield & Wilton Strategies,382,2024-10-14,1.8,Online Panel,New Mexico,49,0.4,9,2024-10-12,187
Kamala Harris,Redfield & Wilton Strategies,1649,2024-10-14,1.8,Online Panel,Pennsylvania,48,0.4,9,2024-10-12,792
Kamala Harris,Redfield & Wilton Strategies,641,2024-10-14,1.8,Online Panel,Wisconsin,48,0.4,9,2024-10-12,308
Kamala Harris,Cygnal,600,2024-10-14,2.1,Live Phone/Text-to-Web,North Carolina,46.6,-1.1,4,2024-10-12,280
Kamala Harris,Quinnipiac,1328,2024-10-14,2.8,Live Phone,Georgia,45,-0.5,9,2024-10-10,598
Kamala Harris,Quinnipiac,1328,2024-10-14,2.8,Live Phone,Georgia,46,-0.5,9,2024-10-10,611
Kamala Harris,Quinnipiac,1031,2024-10-14,2.8,Live Phone,North Carolina,49,-0.5,9,2024-10-10,505
Kamala Harris,Quinnipiac,1031,2024-10-14,2.8,Live Phone,North Carolina,50,-0.5,9,2024-10-10,516
Kamala Harris,SurveyUSA,703,2024-10-14,2.8,Online Panel,Washington,57,-1.3,8,2024-10-09,401
Kamala Harris,East Carolina University,701,2024-10-14,2.6,IVR/Text-to-Web,Georgia,45.8,-0.5,7,2024-10-09,321
Kamala Harris,Elway,401,2024-10-12,1.9,Live Phone/Text-to-Web,Washington,57,-0.2,6,2024-10-08,229
Kamala Harris,MRG (Marketing Resource Group),600,2024-10-11,1.8,Live Phone,Michigan,44.9,0.1,6,2024-10-07,269
Kamala Harris,Siena/NYT,857,2024-10-10,3,Live Phone,Pennsylvania,50,-1.5,9,2024-10-07,428
