pollster,avg_support,sd_support,total_polls,avg_sample_size
Emerson,46.3034188034188,5.690612795883584,351,949.4017094017094
Morning Consult,46.70590257879657,3.5823566862141827,349,833.5272206303731
Siena/NYT,45.5859375,4.196221164193271,256,690.84375
Redfield & Wilton Strategies,44.8,2.7363936974217964,215,803.7441860465117
Florida Atlantic University/Mainstreet Research,44.48870967741936,5.438648350694059,124,544.9919354838709
Focaldata,48.06875,2.957254060201216,112,924.5714285714284
PPP,46.03921568627451,4.959083212596304,102,646.0490196078431
Beacon/Shaw,47.53,2.5124136248281683,100,1008.8799999999999
ActiVote,50.05714285714286,7.797830814626196,77,400
Benenson Strategy Group/GS Strategy Group,46.714285714285715,2.341452894318974,70,445.28571428571433
Quinnipiac,47.28125,2.785841470438097,64,1196.578125
Big Data Poll,43.58679245283019,5.164376413910719,53,1174.811320754717
John Zogby Strategies,42.99807692307692,7.1695568376900924,52,476.63461538461536
InsiderAdvantage,47.36274509803921,2.831816433620917,51,800
TIPP,46.622,1.801392885111578,50,938.12
U. New Hampshire,46.12,10.369972349558713,50,1110.8200000000002
YouGov,46.61,3.7447786779646637,50,1009.3199999999999
Fabrizio/GBAO,44.93877551020408,3.0646381193741434,49,600
Marist,48.71739130434783,2.482499130385981,46,1308.8260869565217
Fabrizio/Impact,46.888888888888886,5.3437398472938,45,597.7777777777778
Bullfinch,44.523809523809526,5.823577373595078,42,526.1904761904761
SurveyUSA,44.976190476190474,6.722688541880145,42,872.5952380952381
Trafalgar Group,46.16829268292683,1.2478860173089217,41,1083.3902439024391
Marquette Law School,46.82051282051282,3.5973074351139407,39,823.7435897435897
Cygnal,47.53421052631579,4.14437269506036,38,648.8684210526316
Targoz Market Research,51.138888888888886,6.740719663900998,36,977.2777777777778
Echelon Insights,47.74285714285714,5.164032038122566,35,555.1428571428571
RMG Research,48.71875,4.136652651757254,32,747.8125
Public Opinion Strategies,45.064516129032256,4.618336524990845,31,477.4193548387097
AtlasIntel,49.10714285714286,1.261665146462777,28,1135.2857142857142
Global Strategy Group/North Star Opinion Research,47.107142857142854,0.8317445171439015,28,404
Noble Predictive Insights,45.32142857142857,4.944533617886798,28,752.5357142857143
CNN/SSRS,46.16,3.590264614203248,25,895.8
Remington,48.916666666666664,3.8776580411451924,24,738.75
Spry Strategies,46.69166666666667,1.7447851908813419,24,609.0833333333334
Prime Group,48.130434782608695,3.69648909379608,23,486.3478260869565
Siena,38.78260869565217,7.856419041656495,23,961.7826086956521
Suffolk,42.285714285714285,9.108198818333166,21,547.6190476190476
Navigator,46.15,1.4608937423083823,20,600
North Star Opinion Research,44.05,3.993086130063471,20,554.7
Change Research,45.68421052631579,5.793220478177222,19,1163.7368421052631
MassINC Polling Group,46.8421052631579,9.322989255328505,19,810.6315789473684
Mitchell,47.02105263157895,1.5335430825265108,19,643.1052631578947
McLaughlin,44.03333333333333,4.277574903940727,18,694.4444444444445
Patriot Polling,48.355555555555554,1.0348186668216877,18,814.8888888888889
Capitol Weekly,42.588235294117645,10.96619135986494,17,1831.8235294117646
EPIC/MRA,45.285714285714285,2.0913216810491813,14,600
Fabrizio/McLaughlin,48.07142857142857,1.4392458342578487,14,800
OnMessage Inc.,46.285714285714285,1.0690449676496974,14,542.8571428571429
SoCal Research,46.66428571428571,3.3534384518803155,14,607.1428571428571
SoCal Strategies,47.607142857142854,2.082330161405463,14,701.2142857142857
St. Anselm,45.57142857142857,4.3094580368566735,14,1888.5
Fabrizio,48.38461538461539,3.6864269407847465,13,546.1538461538462
UC Berkeley,35.53846153846154,10.389220251582763,13,4871.923076923077
Blueprint Polling,42.766666666666666,3.230067078766838,12,645.0833333333334
East Carolina University,47.291666666666664,1.123677674046928,12,967.6666666666666
Fabrizio Ward,45.25,2.261335084333227,12,400
Glengariff Group Inc.,43.6,2.233627298608904,12,600
J.L. Partners,43.75,5.172040216394301,12,596.1666666666666
Roanoke College,43,2.8284271247461903,12,685.5833333333334
The Washington Post,48.083333333333336,2.193309385519074,12,1002
Virginia Commonwealth U.,40.725,4.669266050949061,12,791
Alaska Survey Research,45.63636363636363,4.904543348217595,11,1270.3636363636363
Franklin and Marshall College,41.63636363636363,4.225463933646275,11,702.3636363636364
PPIC,32.18181818181818,9.474367333159314,11,1133.4545454545455
Research America,45.18181818181818,6.764882583137446,11,802.1818181818181
Susquehanna,44.11818181818182,2.6820955172469843,11,654.0909090909091
P2 Insights,43.4,2.2211108331943574,10,650
co/efficient,46,5.033222956847166,10,930.1
Civiqs,46.333333333333336,1.224744871391589,9,527.3333333333334
Mason-Dixon,44.62222222222222,4.704725756560571,9,670.5555555555555
U. Georgia SPIA,46.02222222222222,2.297160082459305,9,1001
University of Massachusetts Lowell/YouGov,44.77777777777778,4.265494630689909,9,700
Victory Insights,48.044444444444444,2.0384498467653747,9,533.3333333333334
American Pulse,44.8625,6.992432133589654,8,954.75
Digital Research,40,6.48074069840786,8,534.125
High Point University,45.625,2.1998376563477846,8,807.125
Quantus Polls and News,47.2875,0.978975411919451,8,636.25
Rasmussen,47.375,1.8468119248354136,8,950
Texas Hispanic Policy Foundation,44.625,3.7392703642746747,8,1200
University of Maryland/Washington Post,47,16.596040835951552,8,1012
Washington Post/George Mason University,46.375,4.2067123233504535,8,1005
Elway,37.42857142857143,12.394315133118393,7,402.42857142857144
HarrisX,45.285714285714285,13.622460444847274,7,980.8571428571429
Kaplan Strategies,47.714285714285715,4.386125310350268,7,815.1428571428571
MRG (Marketing Resource Group),41.27142857142857,2.7511902186231363,7,600
Pan Atlantic Research,44.285714285714285,8.654753717163874,7,577
DHM Research,39.333333333333336,2.9439202887759492,6,500
Embold Research,43.06666666666666,6.973855939626704,6,1325.5
Global Strategy Group,41.666666666666664,6.470445631227162,6,700.1666666666666
Gonzales Research & Media Services,36.083333333333336,10.130432698886395,6,821.5
KAConsulting LLC,43.166666666666664,1.7224014243685084,6,600
Lake Research,46.333333333333336,5.240865068542279,6,633.3333333333334
Muhlenberg,42.166666666666664,5.49241901776136,6,429.3333333333333
National Public Affairs,46.666666666666664,4.633213427705082,6,777.8333333333334
Research Co.,49.333333333333336,1.2110601416389966,6,450
University of Texas at Tyler,45.666666666666664,2.4221202832779936,6,1080.6666666666667
Z to A Research,46.666666666666664,0.5163977794943223,6,543.6666666666666
Meredith College,44,4.06201920231798,5,766
