term	estimate	std.error	statistic	p.value
(Intercept)	-114.131754432154	21.667122376434	-5.26750864509299	1.6840786427922e-07
sample_size	0.000550776443969997	0.000235853859528096	2.33524456658038	0.0197222928022182
stateArizona	3.51805000352076	1.27285187014371	2.76391156429189	0.00581336143716729
stateCalifornia	15.2600955932973	1.43731584199264	10.6170788266977	4.66254176702756e-25
stateColorado	10.6269006420646	2.32372214278413	4.57322347039829	5.38728875682386e-06
stateConnecticut	9.77516118975055	3.03821864825179	3.21739885158537	0.00133399878367803
stateFlorida	1.87120000722272	1.31293186506658	1.42520724571478	0.154400838865408
stateGeorgia	3.16811093063543	1.2699517015546	2.49467040892754	0.0127634680647277
stateIllinois	15.3072498877414	2.32527318084026	6.58298991011887	7.33831483812634e-11
stateIndiana	-1.22784571024771	2.02722400414639	-0.605678360031418	0.544862051997511
stateIowa	0.658116617710431	2.322284134415	0.283391945006856	0.776933461841114
stateMaine	10.2123785631341	1.43433658203073	7.11993174480387	2.02542803568744e-12
stateMaryland	19.0392154799468	1.46123126452534	13.0295702960691	4.99057337584775e-36
stateMassachusetts	19.370738649752	1.75706351004914	11.0244954373962	8.6183077363087e-27
stateMichigan	4.40491058681043	1.26898149818129	3.4712173448735	0.000539636096581982
stateMinnesota	6.31670318349867	1.40475454600511	4.49665971999331	7.68795751648435e-06
stateMissouri	-1.22599576315797	1.75525835668885	-0.698470261364096	0.485041121357392
stateMontana	-3.98048502032732	1.52123260028186	-2.61661827362219	0.00901084882243758
stateNebraska	1.93420050695144	1.4476176191503	1.336126668648	0.181803559410583
stateNevada	3.9209557313881	1.28501499047176	3.05129182185543	0.00233705873569628
stateNew Hampshire	7.54972590542948	1.46172789394131	5.1649324999011	2.88754407420383e-07
stateNew Jersey	12.8855426435785	3.04173982049793	4.23624090290179	2.47682004472866e-05
stateNew Mexico	5.83984401640483	1.58444127440884	3.68574342938882	0.000239943861478267
stateNew York	11.3470699006205	1.58186942266689	7.17320262850163	1.39970496908878e-12
stateNorth Carolina	4.07540858740685	1.27178098574632	3.20448932094647	0.00139466330134912
stateNorth Dakota	-3.12242251920706	3.04054529361556	-1.02692846765461	0.304695718671698
stateOhio	0.73230412569824	1.3685817363129	0.535082491799975	0.592708537810244
stateOregon	9.5937160832553	3.03890989163412	3.15695970771165	0.00164064228590389
statePennsylvania	4.39659077087878	1.26135767477579	3.48560195002602	0.000511759697977572
stateRhode Island	11.5308066483013	1.86126615438775	6.19514120595732	8.4109785545951e-10
stateSouth Carolina	-1.63223856045016	3.04195117545894	-0.536576186238066	0.591676493289441
stateTennessee	-7.16253182205507	1.86176297059201	-3.84717707634796	0.000126844794912596
stateTexas	1.20215363589426	1.33714454258273	0.89904538934308	0.368839017871801
stateUtah	-8.572803185793	1.62673483910376	-5.26994503327668	1.66245875768563e-07
stateVermont	25.4424273187556	2.3204788300407	10.964300552705	1.5656345926497e-26
stateVirginia	3.64560579513587	1.33354471300867	2.73377094864023	0.0063688961806728
stateWashington	10.7632923922429	1.58573311475008	6.78758127211038	1.92372110752655e-11
stateWest Virginia	-8.83178246675276	3.04158709359633	-2.90367567818358	0.00376696817075564
stateWisconsin	5.44350453496743	1.2687605731724	4.29041116982107	1.95164832524996e-05
end_date	0.0078520802685762	0.0010838676873801	7.24450074487975	8.50398861687249e-13
